;.com;.de;.org;.edu;.uk;.net;.fr;.nl;.ch;.at;.au;.se;.ca;.it
.com;6.43;6.25;6.00;6.53;6.41;6.22;6.28;6.02;6.06;7.22;6.03;6.50;6.13;6.26;.com
.de;5.92;5.27;5.43;6.20;5.92;5.62;5.71;5.44;5.28;6.41;5.61;6.09;5.77;5.69;.de
.org;5.72;5.48;5.21;5.87;5.66;5.49;5.43;5.25;5.28;6.44;5.26;5.80;5.44;5.44;.org
.edu;6.27;6.31;5.90;6.11;6.30;6.12;6.28;5.93;6.04;7.30;5.89;6.26;5.92;6.25;.edu
.uk;6.19;6.04;5.71;6.32;5.88;5.97;5.97;5.72;5.80;6.93;5.71;6.22;5.89;5.95;.uk
.net;6.18;5.89;5.71;6.32;6.14;5.94;5.97;5.72;5.72;6.87;5.79;6.26;5.92;5.96;.net
.fr;6.10;5.85;5.53;6.33;6.00;5.85;5.31;5.50;5.64;6.80;5.69;6.22;5.87;5.72;.fr
.nl;5.78;5.55;5.31;5.91;5.72;5.54;5.52;4.81;5.29;6.59;5.45;5.78;5.58;5.59;.nl
.ch;5.78;5.35;5.29;5.98;5.76;5.51;5.55;5.32;4.72;6.44;5.39;5.89;5.62;5.49;.ch
.at;7.59;7.11;7.05;7.86;7.47;7.30;7.28;7.10;6.92;6.72;7.23;7.68;7.38;7.28;.at
.au;5.84;5.75;5.36;5.95;5.76;5.64;5.66;5.48;5.49;6.63;4.87;5.85;5.44;5.63;.au
.se;6.13;6.08;5.73;6.16;6.12;5.95;6.08;5.73;5.83;7.03;5.74;5.15;5.84;6.00;.se
.ca;6.13;6.02;5.70;6.20;6.12;5.95;6.00;5.81;5.84;6.98;5.67;6.26;5.59;5.98;.ca
.it;6.11;5.85;5.56;6.34;6.04;5.86;5.75;5.62;5.58;6.81;5.64;6.17;5.88;4.98;.it
;.com;.de;.org;.edu;.uk;.net;.fr;.nl;.ch;.at;.au;.se;.ca;.it
